,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
15,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-25,903.31,898.84,898.84,898.84,898.84,5000.0,110000.0,-4.47,-0.004948
16,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-26,898.84,894.36,894.36,894.36,894.36,5300.0,92000.0,-4.48,-0.004984
17,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-29,894.36,885.43,885.43,885.43,885.43,4900.0,72000.0,-8.93,-0.009985
18,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-04-30,885.43,880.98,880.98,880.98,880.98,14200.0,182000.0,-4.45,-0.005026
19,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-02,880.98,876.57,876.57,876.57,876.57,7200.0,92000.0,-4.41,-0.005006
20,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-03,876.57,872.16,872.16,872.16,872.16,7800.0,103000.0,-4.41,-0.005031
21,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-06,872.16,863.35,863.35,863.35,863.35,12400.0,181000.0,-8.81,-0.010101
22,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-07,863.35,859.06,859.06,859.06,859.06,10200.0,127000.0,-4.29,-0.004969
23,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-08,859.06,854.78,854.78,854.78,854.78,30900.0,697000.0,-4.28,-0.004982
24,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-09,854.78,850.5,850.5,850.5,850.5,45000.0,568000.0,-4.28,-0.005007
25,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-10,850.5,846.22,846.22,846.22,846.22,70000.0,897000.0,-4.28,-0.005032
26,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-13,846.22,837.66,837.66,837.66,837.66,155400.0,1910000.0,-8.56,-0.010116
27,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-14,837.66,834.44,833.38,835.01,835.01,316000.0,3874000.0,-2.65,-0.003164
28,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-15,835.01,832.36,832.36,832.54,832.54,395700.0,5673000.0,-2.47,-0.002958
29,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-16,832.54,830.06,830.06,830.06,830.06,591800.0,8116000.0,-2.48,-0.002979
30,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-17,830.06,827.72,827.72,827.72,827.72,901400.0,11550000.0,-2.34,-0.002819
31,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-20,827.72,822.67,822.67,822.67,822.67,563100.0,6783000.0,-5.05,-0.006101
32,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-21,822.67,820.15,820.15,820.15,820.15,370800.0,4590000.0,-2.52,-0.003063
33,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-22,820.15,817.63,817.63,817.63,817.63,453300.0,5591000.0,-2.52,-0.003073
34,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-23,817.63,814.16,813.59,815.22,813.59,326700.0,4006000.0,-4.04,-0.004941
35,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-24,813.59,809.56,809.56,809.56,809.56,100800.0,1190000.0,-4.03,-0.004953
36,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-27,809.56,801.48,801.48,801.48,801.48,132000.0,1509000.0,-8.08,-0.009981
37,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-28,801.48,797.98,797.98,797.98,797.98,17800.0,216000.0,-3.5,-0.004367
38,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-29,797.98,794.61,794.61,794.61,794.61,13600.0,258000.0,-3.37,-0.004223
39,399001.ZICN,399001,深圳证券交易所,深证成指,XSHE,1991-05-30,794.61,791.23,791.23,791.23,791.23,20400.0,286000.0,-3.38,-0.004254
