code,code_name,peTTM
sh.600845,宝信软件,46.64
sh.600132,重庆啤酒,47.03
sz.002221,东华能源,47.21
sh.600085,同仁堂,47.31
sh.600809,山西汾酒,47.31
sz.300009,安科生物,47.38
sh.601990,南京证券,47.57
sh.600547,山东黄金,47.58
sz.000825,太钢不锈,47.81
sh.603056,德邦股份,48.03
sz.002511,中顺洁柔,48.15
sh.600161,天坛生物,48.42
sz.300166,东方国信,48.48
sh.600521,华海药业,48.56
sz.300072,海新能科,48.57
sh.601778,晶科科技,48.66
sh.688599,天合光能,48.72
sz.000636,风华高科,48.95
sh.688006,杭可科技,49.48
sh.688012,中微公司,49.58
