id,open,high,low,close,volume,interests,roi,day,rate,warrant
'122766', 0.0, 0.0, 0.0, 0.0, 0.0, u'7.4618', 6.9, 335, 'AA', 'AA'
'124508', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.3047', 6.9, 163, 'AA', 'AA'
'122504', 0.0, 0.0, 0.0, 0.0, 0.0, u'0.5096', 6.88, 24, 'AA', 'AA'
'122775', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.7745', 6.88, 313, 'AA', 'AA'
'122222', 100.99, 100.99, 100.87, 100.88, 583.0, u'3.8822', 6.87, 260, 'AA+', 'AA'
'122695', 104.7, 104.7, 104.7, 104.7, 23.0, u'5.1129', 6.87, 217, 'AA', 'AA'
'122651', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.9443', 6.84, 176, 'AA', 'AA'
'124286', 0.0, 0.0, 0.0, 0.0, 0.0, u'3.3633', 6.81, 186, 'AA+', 'AA+'
'122513', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.2137', 6.8, 360, 'AA+', 'AA'
'124183', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.5448', 6.8, 238, 'AA', 'AA'
'122681', 0.0, 0.0, 0.0, 0.0, 0.0, u'4.3328', 6.79, 191, 'AA', 'AA'
'111051', 107.446, 107.495, 107.202, 107.45, 12840.0, u'5.8677', 6.79, 242, 'AA', 'AA'
'124026', 0.0, 0.0, 0.0, 0.0, 0.0, u'6.4753', 6.76, 326, 'AA+', 'AA'
